MISSION,VESEL,CRUNO,YEAR
ATC1970175,A,175,1970
ATC1970176,A,176,1970
ATC1971188,A,188,1971
ATC1971189,A,189,1971
ATC1972200,A,200,1972
ATC1972201,A,201,1972
ATC1973212,A,212,1973
ATC1973213,A,213,1973
ATC1974225,A,225,1974
ATC1974226,A,226,1974
ATC1975236,A,236,1975
ATC1975237,A,237,1975
ATC1976250,A,250,1976
ATC1976251,A,251,1976
ATC1977265,A,265,1977
ATC1977266,A,266,1977
ATC1978279,A,279,1978
ATC1978280,A,280,1978
ATC1979292,A,292,1979
ATC1979293,A,293,1979
ATC1980306,A,306,1980
ATC1980307,A,307,1980
ATC1981321,A,321,1981
ATC1981322,A,322,1981
HAM1978009,H,9,1978
HAM1978010,H,10,1978
HAM1979013,H,13,1979
HAM1979014,H,14,1979
HAM1979026,H,26,1979
HAM1979027,H,27,1979
HAM1980033,H,33,1980
HAM1980034,H,34,1980
HAM1980042,H,42,1980
HAM1980043,H,43,1980
HAM1981048,H,48,1981
HAM1981049,H,49,1981
HAM1981060,H,60,1981
HAM1981064,H,64,1981
HAM1981065,H,65,1981
HAM1982071,H,71,1982
HAM1982072,H,72,1982
HAM1982080,H,80,1982
HAM1982081,H,81,1982
HAM1982084,H,84,1982
HAM1982085,H,85,1982
HAM1983094,H,94,1983
HAM1983095,H,95,1983
HAM1991231,H,231,1991
NED1983012,N,12,1983
NED1983013,N,13,1983
NED1983017,N,17,1983
NED1983018,N,18,1983
NED1984024,N,24,1984
NED1984025,N,25,1984
NED1984031,N,31,1984
NED1984032,N,32,1984
NED1984036,N,36,1984
NED1984037,N,37,1984
NED1985041,N,41,1985
NED1985048,N,48,1985
NED1985049,N,49,1985
NED1986059,N,59,1986
NED1986060,N,60,1986
NED1986065,N,65,1986
NED1986066,N,66,1986
NED1986070,N,70,1986
NED1987077,N,77,1987
NED1987078,N,78,1987
NED1987085,N,85,1987
NED1987086,N,86,1987
NED1987087,N,87,1987
NED1988097,N,97,1988
NED1988098,N,98,1988
NED1988105,N,105,1988
NED1988106,N,106,1988
NED1989116,N,116,1989
NED1989117,N,117,1989
NED1989123,N,123,1989
NED1989124,N,124,1989
NED1990133,N,133,1990
NED1990134,N,134,1990
NED1990139,N,139,1990
NED1990140,N,140,1990
NED1991148,N,148,1991
NED1991149,N,149,1991
NED1991154,N,154,1991
NED1992165,N,165,1992
NED1992166,N,166,1992
NED1992173,N,173,1992
NED1992174,N,174,1992
NED1993182,N,182,1993
NED1993189,N,189,1993
NED1993190,N,190,1993
NED1994200,N,200,1994
NED1994201,N,201,1994
NED1994221,N,221,1994
NED1994222,N,222,1994
NED1995216,N,216,1995
NED1995217,N,217,1995
NED1995226,N,226,1995
NED1995227,N,227,1995
NED1996237,N,237,1996
NED1996238,N,238,1996
NED1996246,N,246,1996
NED1996247,N,247,1996
NED1997254,N,254,1997
NED1997255,N,255,1997
NED1997726,N,726,1997
NED1997734,N,734,1997
NED1998773,N,773,1998
NED1998827,N,827,1998
NED1998832,N,832,1998
NED1999871,N,871,1999
NED1999872,N,872,1999
NED1999925,N,925,1999
NED1999929,N,929,1999
NED2000426,N,426,2000
NED2000431,N,431,2000
NED2000965,N,965,2000
NED2000966,N,966,2000
NED2001003,N,3,2001
NED2001004,N,4,2001
NED2001032,N,32,2001
NED2001037,N,37,2001
NED2002002,N,2,2002
NED2002003,N,3,2002
NED2002037,N,37,2002
NED2002040,N,40,2002
NED2003002,N,2,2003
NED2003003,N,3,2003
NED2003036,N,36,2003
NED2003042,N,42,2003
NED2005001,N,1,2005
NED2005002,N,2,2005
NED2005027,N,27,2005
NED2005034,N,34,2005
NED2006001,N,1,2006
NED2006002,N,2,2006
NED2006030,N,30,2006
NED2006036,N,36,2006
NED2009002,N,2,2009
NED2009027,N,27,2009
NED2009841,N,841,2009
NED2010001,N,1,2010
NED2010002,N,2,2010
NED2010027,N,27,2010
NED2011002,N,2,2011
NED2011025,N,25,2011
NED2012002,N,2,2012
NED2012022,N,22,2012
NED2013002,N,2,2013
NED2013022,N,22,2013
NED2014002,N,2,2014
NED2014018,N,18,2014
NED2014101,N,101,2014
NED2015002,N,2,2015
NED2015017,N,17,2015
NED2016016,N,16,2016
NED2017002,N,2,2017
NED2017020,N,20,2017
NED2017102,N,102,2017
NED2019002,N,2,2019
NED2019030,N,30,2019
NED2019102,N,102,2019
NED2020025,N,25,2020
TEL2004529,S,529,2004
TEL2004530,S,530,2004
TEL2005545,S,545,2005
TEL2005546,S,546,2005
TEL2005605,S,605,2005
TEL2006614,S,614,2006
TEL2006615,S,615,2006
TEL2007745,S,745,2007
TEL2008805,S,805,2008
TEL2016002,S,2,2016
TEL2016003,S,3,2016
TEL2017002,S,2,2017
TEL2018023,S,23,2018
TEL2020002,S,2,2020
TEL2020102,S,102,2020
TEM1993134,T,134,1993
TEM2004004,T,4,2004
TEM2007685,T,685,2007
TEM2007686,T,686,2007
TEM2008775,T,775,2008
TEM2008830,T,830,2008
VEN2018002,V,2,2018
